repository,rows,positives,positive_rate,stars,star_bucket,discovery_stratum,api_reference,configuration,developer_setup,model_contract,other_documentation
datalayer/jupyter-mcp-server,80,2,0.025,1261,1000_9999,large_1000_9999,0,1,1,0,0
anthropics/anthropic-sdk-python,80,2,0.025,,unknown,unknown,0,0,2,0,0
agalwood/motrix,80,2,0.025,54564,10000_plus,very_large_10000_plus,0,0,0,0,2
areal-project/areal,80,2,0.025,5693,1000_9999,large_1000_9999,0,1,0,1,0
aws/aws-cdk,80,2,0.025,,unknown,unknown,1,1,0,0,0
custom-components/places,80,2,0.025,208,100_999,medium_100_999,0,2,0,0,0
bentoml/bentoml,80,2,0.025,,unknown,unknown,1,1,0,0,0
better-auth/better-auth,80,2,0.025,29684,10000_plus,very_large_10000_plus,0,1,0,1,0
different-ai/openwork,80,2,0.025,23044,10000_plus,very_large_10000_plus,1,1,0,0,0
ag-ui-protocol/ag-ui,80,2,0.025,15547,10000_plus,very_large_10000_plus,0,1,0,1,0
activepieces/activepieces,80,2,0.025,24039,10000_plus,very_large_10000_plus,0,0,0,2,0
deepspeedai/deepspeed,80,2,0.025,42999,10000_plus,very_large_10000_plus,0,0,0,0,2
a2ui-project/a2ui,86,2,0.023255813953488372,16205,10000_plus,very_large_10000_plus,0,0,0,2,0
apache/beam,260,6,0.023076923076923078,,unknown,unknown,0,0,4,1,1
apache/airflow,175,4,0.022857142857142857,,unknown,unknown,0,2,1,1,0
microsoft/promptflow,178,4,0.02247191011235955,,unknown,unknown,0,2,1,0,1
1111mp/nvm-desktop,94,2,0.02127659574468085,1389,1000_9999,large_1000_9999,0,2,0,0,0
celery/celery,78,1,0.01282051282051282,,unknown,unknown,0,0,0,0,1
codewithcj/sparkyfitness,80,1,0.0125,5635,1000_9999,large_1000_9999,0,1,0,0,0
dagster-io/dagster,80,1,0.0125,,unknown,unknown,0,1,0,0,0
ctrliq/ascender,80,1,0.0125,203,100_999,medium_100_999,0,0,0,1,0
agentconnect-md/agentconnect,80,1,0.0125,152,100_999,medium_100_999,0,1,0,0,0
docgeni/docgeni,80,1,0.0125,198,100_999,medium_100_999,1,0,0,0,0
automattic/wp-calypso,80,1,0.0125,12639,10000_plus,very_large_10000_plus,0,0,0,0,1
airbytehq/airbyte,80,1,0.0125,21953,10000_plus,very_large_10000_plus,1,0,0,0,0
agentscope-ai/qwenpaw,80,1,0.0125,34472,10000_plus,very_large_10000_plus,0,0,0,0,1
commaai/openpilot,80,1,0.0125,63498,10000_plus,very_large_10000_plus,1,0,0,0,0
akfamily/akquant,80,1,0.0125,2091,1000_9999,large_1000_9999,1,0,0,0,0
abrignoni/ileapp,80,1,0.0125,1171,1000_9999,large_1000_9999,0,0,0,0,1
astrbotdevs/astrbot,80,1,0.0125,39609,10000_plus,very_large_10000_plus,0,1,0,0,0
agsh/onvif,80,1,0.0125,785,100_999,medium_100_999,1,0,0,0,0
copilotkit/copilotkit,80,1,0.0125,37045,10000_plus,very_large_10000_plus,0,0,0,0,1
cline/cline,80,1,0.0125,66851,10000_plus,very_large_10000_plus,0,0,0,1,0
bitwarden/clients,80,1,0.0125,13666,10000_plus,very_large_10000_plus,0,0,0,0,1
microsoft/fluentui,180,2,0.011111111111111112,,unknown,unknown,0,0,0,0,2
denoland/fresh,100,1,0.01,,unknown,unknown,1,0,0,0,0
vercel/swr,180,1,0.005555555555555556,,unknown,unknown,0,0,0,0,1
vercel/turborepo,180,1,0.005555555555555556,,unknown,unknown,0,0,0,1,0
apache/superset,260,1,0.0038461538461538464,,unknown,unknown,0,0,0,0,1
d-hinders/haven-ai,260,0,0.0,,unknown,unknown,0,0,0,0,0
apache/libcloud,260,0,0.0,,unknown,unknown,0,0,0,0,0
apache/iceberg-python,260,0,0.0,,unknown,unknown,0,0,0,0,0
microsoft/typescript-go,260,0,0.0,,unknown,unknown,0,0,0,0,0
apache/arrow,260,0,0.0,,unknown,unknown,0,0,0,0,0
open-telemetry/opentelemetry-python,180,0,0.0,,unknown,unknown,0,0,0,0,0
microsoft/playwright,180,0,0.0,,unknown,unknown,0,0,0,0,0
open-telemetry/opentelemetry-python-contrib,180,0,0.0,,unknown,unknown,0,0,0,0,0
remix-run/remix,180,0,0.0,,unknown,unknown,0,0,0,0,0
microsoft/rushstack,180,0,0.0,,unknown,unknown,0,0,0,0,0
fastapi/fastapi,180,0,0.0,,unknown,unknown,0,0,0,0,0
storybookjs/storybook,180,0,0.0,,unknown,unknown,0,0,0,0,0
microsoft/typescript,180,0,0.0,,unknown,unknown,0,0,0,0,0
microsoft/onnxruntime,179,0,0.0,,unknown,unknown,0,0,0,0,0
microsoft/kiota,179,0,0.0,,unknown,unknown,0,0,0,0,0
cryptojones/omind,142,0,0.0,,unknown,unknown,0,0,0,0,0
microsoft/markitdown,142,0,0.0,,unknown,unknown,0,0,0,0,0
denoland/deno,100,0,0.0,,unknown,unknown,0,0,0,0,0
angular/angular,100,0,0.0,,unknown,unknown,0,0,0,0,0
babel/babel,100,0,0.0,,unknown,unknown,0,0,0,0,0
ant-design/ant-design,99,0,0.0,,unknown,unknown,0,0,0,0,0
mui/material-ui,81,0,0.0,,unknown,unknown,0,0,0,0,0
chrisbenincasa/tunarr,80,0,0.0,2540,1000_9999,large_1000_9999,0,0,0,0,0
alishahryar1/free-claude-code,80,0,0.0,49849,10000_plus,very_large_10000_plus,0,0,0,0,0
anomalyco/models.dev,80,0,0.0,6586,1000_9999,large_1000_9999,0,0,0,0,0
colorado-mesh/mesh-client,80,0,0.0,101,100_999,medium_100_999,0,0,0,0,0
apache/echarts,80,0,0.0,,unknown,unknown,0,0,0,0,0
devin-axis/ipollowork,80,0,0.0,4851,1000_9999,large_1000_9999,0,0,0,0,0
anomalyco/opencode,80,0,0.0,201402,10000_plus,very_large_10000_plus,0,0,0,0,0
cherryhq/cherry-studio,80,0,0.0,51069,10000_plus,very_large_10000_plus,0,0,0,0,0
boto/boto3,80,0,0.0,,unknown,unknown,0,0,0,0,0
directus/directus,80,0,0.0,,unknown,unknown,0,0,0,0,0
camurban/pterasoftware,80,0,0.0,263,100_999,medium_100_999,0,0,0,0,0
comfy-org/comfyui_frontend,80,0,0.0,1985,1000_9999,large_1000_9999,0,0,0,0,0
bastani-inc/atomic,80,0,0.0,698,100_999,medium_100_999,0,0,0,0,0
datadog/dd-trace-js,80,0,0.0,,unknown,unknown,0,0,0,0,0
andymai/gridfinity-layout-tool,80,0,0.0,305,100_999,medium_100_999,0,0,0,0,0
definitelytyped/definitelytyped,80,0,0.0,51400,10000_plus,very_large_10000_plus,0,0,0,0,0
chiimagnus/syncnos,80,0,0.0,203,100_999,medium_100_999,0,0,0,0,0
aipoch/open-science,80,0,0.0,3127,1000_9999,large_1000_9999,0,0,0,0,0
chaterm/chaterm,80,0,0.0,3029,1000_9999,large_1000_9999,0,0,0,0,0
daangn/seed-design,80,0,0.0,1068,1000_9999,large_1000_9999,0,0,0,0,0
backstage/backstage,80,0,0.0,,unknown,unknown,0,0,0,0,0
cheeriojs/cheerio,80,0,0.0,30464,10000_plus,very_large_10000_plus,0,0,0,0,0
ai-hypercomputer/maxtext,80,0,0.0,2407,1000_9999,large_1000_9999,0,0,0,0,0
arcreel/arcreel,80,0,0.0,4181,1000_9999,large_1000_9999,0,0,0,0,0
aio-libs/aiohttp,80,0,0.0,,unknown,unknown,0,0,0,0,0
crewaiinc/crewai,80,0,0.0,57614,10000_plus,very_large_10000_plus,0,0,0,0,0
agentmorris/megadetector,80,0,0.0,318,100_999,medium_100_999,0,0,0,0,0
awslabs/aws-crt-python,80,0,0.0,,unknown,unknown,0,0,0,0,0
apache/tvm,80,0,0.0,13690,10000_plus,very_large_10000_plus,0,0,0,0,0
awslabs/aidlc-workflows,80,0,0.0,4173,1000_9999,large_1000_9999,0,0,0,0,0
anomalyco/opentui,80,0,0.0,13152,10000_plus,very_large_10000_plus,0,0,0,0,0
astral-sh/ruff,80,0,0.0,,unknown,unknown,0,0,0,0,0
dbt-labs/dbt-core,80,0,0.0,,unknown,unknown,0,0,0,0,0
awsdocs/aws-doc-sdk-examples,80,0,0.0,,unknown,unknown,0,0,0,0,0
astral-sh/uv,80,0,0.0,,unknown,unknown,0,0,0,0,0
django-cms/django-cms,80,0,0.0,,unknown,unknown,0,0,0,0,0
bambooom/douban-backup,80,0,0.0,168,100_999,medium_100_999,0,0,0,0,0
docmost/docmost,80,0,0.0,21464,10000_plus,very_large_10000_plus,0,0,0,0,0
aws/aws-sdk-js-v3,80,0,0.0,,unknown,unknown,0,0,0,0,0
dask/dask,80,0,0.0,,unknown,unknown,0,0,0,0,0
airbrake/airbrake-js,80,0,0.0,420,100_999,medium_100_999,0,0,0,0,0
deepcoldy/botmux,80,0,0.0,1219,1000_9999,large_1000_9999,0,0,0,0,0
datadog/dd-trace-py,80,0,0.0,,unknown,unknown,0,0,0,0,0
daiki-beppu/youtube-automation,80,0,0.0,161,100_999,medium_100_999,0,0,0,0,0
comfy-org/comfy-desktop,80,0,0.0,382,100_999,medium_100_999,0,0,0,0,0
basefoundry/base,80,0,0.0,119,100_999,medium_100_999,0,0,0,0,0
comfy-org/comfyui,80,0,0.0,129986,10000_plus,very_large_10000_plus,0,0,0,0,0
chatbotxio/chatbotx,80,0,0.0,665,100_999,medium_100_999,0,0,0,0,0
builderio/agent-native,80,0,0.0,4576,1000_9999,large_1000_9999,0,0,0,0,0
dfpc-coe/cloudtak,80,0,0.0,128,100_999,medium_100_999,0,0,0,0,0
1panel-dev/maxkb,80,0,0.0,22603,10000_plus,very_large_10000_plus,0,0,0,0,0
civitai/civitai,80,0,0.0,7234,1000_9999,large_1000_9999,0,0,0,0,0
apache/maka,80,0,0.0,3401,1000_9999,large_1000_9999,0,0,0,0,0
angr/angr,80,0,0.0,9035,1000_9999,large_1000_9999,0,0,0,0,0
awslabs/mcp,80,0,0.0,9637,1000_9999,large_1000_9999,0,0,0,0,0
can1357/oh-my-pi,80,0,0.0,27471,10000_plus,very_large_10000_plus,0,0,0,0,0
babylonjs/babylon.js,80,0,0.0,25987,10000_plus,very_large_10000_plus,0,0,0,0,0
ansible/ansible,80,0,0.0,,unknown,unknown,0,0,0,0,0
artokun/comfyui-mcp,80,0,0.0,675,100_999,medium_100_999,0,0,0,0,0
canner/wrenai,80,0,0.0,17393,10000_plus,very_large_10000_plus,0,0,0,0,0
arize-ai/phoenix,80,0,0.0,11198,10000_plus,very_large_10000_plus,0,0,0,0,0
bennykok/omg.dev,80,0,0.0,485,100_999,medium_100_999,0,0,0,0,0
berriai/litellm,80,0,0.0,57272,10000_plus,very_large_10000_plus,0,0,0,0,0
datadog/browser-sdk,80,0,0.0,398,100_999,medium_100_999,0,0,0,0,0
avibe-bot/avibe,80,0,0.0,494,100_999,medium_100_999,0,0,0,0,0
1catai/1cat-vllm,80,0,0.0,684,100_999,medium_100_999,0,0,0,0,0
anywhere-labs/dsh-desktop,79,0,0.0,20286,10000_plus,very_large_10000_plus,0,0,0,0,0
bojieli/ai-agent-book,79,0,0.0,42254,10000_plus,very_large_10000_plus,0,0,0,0,0
cypress-io/cypress,79,0,0.0,51001,10000_plus,very_large_10000_plus,0,0,0,0,0
azure/azure-sdk-for-js,79,0,0.0,2292,1000_9999,large_1000_9999,0,0,0,0,0
aiskillstore/marketplace,76,0,0.0,413,100_999,medium_100_999,0,0,0,0,0
cpsoinos/nuxt-svgo,75,0,0.0,182,100_999,medium_100_999,0,0,0,0,0
appwrite/sdk-for-web,60,0,0.0,,unknown,unknown,0,0,0,0,0
django/django,57,0,0.0,,unknown,unknown,0,0,0,0,0
companion-inc/feynman,37,0,0.0,8572,1000_9999,large_1000_9999,0,0,0,0,0
blockrunai/clawrouter,33,0,0.0,6567,1000_9999,large_1000_9999,0,0,0,0,0
eclipsefdn-ai-registry/ai-registry-core,30,0,0.0,,unknown,unknown,0,0,0,0,0
elastic/apm-agent-nodejs,20,0,0.0,,unknown,unknown,0,0,0,0,0
sveltejs/kit,20,0,0.0,,unknown,unknown,0,0,0,0,0
tauri-apps/tauri,20,0,0.0,,unknown,unknown,0,0,0,0,0
shadcn-ui/ui,20,0,0.0,,unknown,unknown,0,0,0,0,0
prettier/prettier,20,0,0.0,,unknown,unknown,0,0,0,0,0
electron/electron,20,0,0.0,,unknown,unknown,0,0,0,0,0
nodejs/node,20,0,0.0,,unknown,unknown,0,0,0,0,0
nestjs/nest,20,0,0.0,,unknown,unknown,0,0,0,0,0
supabase/supabase-js,20,0,0.0,,unknown,unknown,0,0,0,0,0
supabase/supabase,20,0,0.0,,unknown,unknown,0,0,0,0,0
eslint/eslint,20,0,0.0,,unknown,unknown,0,0,0,0,0
grafana/k6,20,0,0.0,,unknown,unknown,0,0,0,0,0
strapi/strapi,20,0,0.0,,unknown,unknown,0,0,0,0,0
facebook/jest,20,0,0.0,,unknown,unknown,0,0,0,0,0
webpack/webpack,20,0,0.0,,unknown,unknown,0,0,0,0,0
nuxt/nuxt,20,0,0.0,,unknown,unknown,0,0,0,0,0
open-telemetry/opentelemetry-js-contrib,20,0,0.0,,unknown,unknown,0,0,0,0,0
grafana/grafana,20,0,0.0,,unknown,unknown,0,0,0,0,0
pmndrs/zustand,20,0,0.0,,unknown,unknown,0,0,0,0,0
vitest-dev/vitest,20,0,0.0,,unknown,unknown,0,0,0,0,0
sveltejs/svelte,20,0,0.0,,unknown,unknown,0,0,0,0,0
expo/expo,20,0,0.0,,unknown,unknown,0,0,0,0,0
reduxjs/redux-toolkit,20,0,0.0,,unknown,unknown,0,0,0,0,0
npm/cli,20,0,0.0,,unknown,unknown,0,0,0,0,0
open-telemetry/opentelemetry-js,20,0,0.0,,unknown,unknown,0,0,0,0,0
elastic/kibana,20,0,0.0,,unknown,unknown,0,0,0,0,0
yarnpkg/berry,20,0,0.0,,unknown,unknown,0,0,0,0,0
facebook/docusaurus,20,0,0.0,,unknown,unknown,0,0,0,0,0
vuejs/core,20,0,0.0,,unknown,unknown,0,0,0,0,0
pnpm/pnpm,20,0,0.0,,unknown,unknown,0,0,0,0,0
oven-sh/bun,20,0,0.0,,unknown,unknown,0,0,0,0,0
facebook/react,20,0,0.0,,unknown,unknown,0,0,0,0,0
rollup/rollup,19,0,0.0,,unknown,unknown,0,0,0,0,0
nestjs/docs.nestjs.com,17,0,0.0,,unknown,unknown,0,0,0,0,0
adongwanai/learn-workbuddy,14,0,0.0,218,100_999,medium_100_999,0,0,0,0,0
cluntop/tvbox,13,0,0.0,423,100_999,medium_100_999,0,0,0,0,0
bytepioneer-ai/codex-host,13,0,0.0,388,100_999,medium_100_999,0,0,0,0,0
521xueweihan/github520,10,0,0.0,29479,10000_plus,very_large_10000_plus,0,0,0,0,0
217heidai/adblockfilters,6,0,0.0,7460,1000_9999,large_1000_9999,0,0,0,0,0
apodexai/frontieragent,5,0,0.0,639,100_999,medium_100_999,0,0,0,0,0
payloadcms/payload,5,0,0.0,,unknown,unknown,0,0,0,0,0
appstore-discounts/appstore-discounts,3,0,0.0,401,100_999,medium_100_999,0,0,0,0,0
bitwire-it/ipblocklist,3,0,0.0,731,100_999,medium_100_999,0,0,0,0,0
facebook/react-native,2,0,0.0,,unknown,unknown,0,0,0,0,0
bibinprathap/veritasgraph,2,0,0.0,313,100_999,medium_100_999,0,0,0,0,0
activeing123/mcptoon,1,0,0.0,182,100_999,medium_100_999,0,0,0,0,0
avencores/goida-vpn-configs,1,0,0.0,2795,1000_9999,large_1000_9999,0,0,0,0,0
cabloy/cabloy,1,0,0.0,970,100_999,medium_100_999,0,0,0,0,0
bonfy/github-trending,1,0,0.0,1109,1000_9999,large_1000_9999,0,0,0,0,0
aneasystone/github-trending,1,0,0.0,204,100_999,medium_100_999,0,0,0,0,0
