task,fold,repository,case_count,label_distribution,language_distribution
category,1,pallets/flask,1,"{""api_reference"": 1}","{""python"": 1}"
category,2,pdm-project/pdm,2,"{""configuration"": 1, ""developer_setup"": 1}","{""python"": 2}"
category,0,pmndrs/zustand,51,"{""api_reference"": 14, ""configuration"": 20, ""developer_setup"": 1, ""model_contract"": 16}","{""typescript"": 51}"
category,1,pnpm/pnpm,91,"{""api_reference"": 21, ""configuration"": 59, ""developer_setup"": 8, ""model_contract"": 3}","{""typescript"": 91}"
category,1,prettier/prettier,82,"{""api_reference"": 13, ""configuration"": 11, ""developer_setup"": 23, ""model_contract"": 35}","{""typescript"": 82}"
category,4,pytest-dev/pytest,1,"{""configuration"": 1}","{""python"": 1}"
category,1,pytest-dev/pytest-cov,2,"{""developer_setup"": 2}","{""python"": 2}"
category,1,ragpark/controltower,3,"{""api_reference"": 3}","{""typescript"": 3}"
category,2,rollup/rollup,3,"{""configuration"": 1, ""developer_setup"": 1, ""model_contract"": 1}","{""typescript"": 3}"
category,0,spf13/viper,2,"{""api_reference"": 1, ""configuration"": 1}","{""go"": 2}"
category,1,strapi/strapi,82,"{""api_reference"": 46, ""configuration"": 13, ""developer_setup"": 1, ""model_contract"": 22}","{""typescript"": 82}"
category,1,strawberry-graphql/strawberry,5,"{""api_reference"": 4, ""model_contract"": 1}","{""python"": 4, ""typescript"": 1}"
category,0,tanstack/query,3,"{""api_reference"": 2, ""model_contract"": 1}","{""typescript"": 3}"
category,1,tanstack/router,95,"{""api_reference"": 80, ""configuration"": 9, ""developer_setup"": 1, ""model_contract"": 5}","{""typescript"": 95}"
category,1,temporalio/sdk-python,3,"{""api_reference"": 3}","{""python"": 3}"
category,1,tiangolo/sqlmodel,3,"{""api_reference"": 3}","{""python"": 3}"
category,0,torbido-hq/cicerone,4,"{""configuration"": 4}","{""python"": 4}"
category,4,tox-dev/tox,1,"{""configuration"": 1}","{""python"": 1}"
category,3,urfave/cli,2,"{""configuration"": 2}","{""go"": 2}"
category,0,vercel/next.js,6,"{""api_reference"": 2, ""model_contract"": 4}","{""typescript"": 6}"
category,0,vitejs/vite,1,"{""configuration"": 1}","{""typescript"": 1}"
category,4,vuejs/router,76,"{""api_reference"": 49, ""configuration"": 14, ""developer_setup"": 1, ""model_contract"": 12}","{""typescript"": 76}"
category,1,webpack/webpack,86,"{""api_reference"": 8, ""configuration"": 53, ""developer_setup"": 2, ""model_contract"": 23}","{""typescript"": 86}"
