task,fold,repository,case_count,label_distribution,language_distribution
binary,4,apache/iceberg-python,260,"{""0"": 260}","{""python"": 260}"
binary,0,apache/libcloud,260,"{""0"": 260}","{""python"": 260}"
binary,4,apache/maka,80,"{""0"": 80}","{""typescript"": 80}"
binary,2,apache/superset,260,"{""0"": 259, ""1"": 1}","{""python"": 260}"
binary,2,apache/tvm,80,"{""0"": 80}","{""python"": 80}"
binary,0,appstore-discounts/appstore-discounts,3,"{""0"": 3}","{""typescript"": 3}"
binary,1,appwrite/appwrite,145,"{""0"": 99, ""1"": 46}","{""typescript"": 145}"
binary,2,appwrite/sdk-for-web,60,"{""0"": 60}","{""typescript"": 60}"
binary,2,areal-project/areal,80,"{""0"": 78, ""1"": 2}","{""python"": 80}"
binary,4,arize-ai/phoenix,80,"{""0"": 80}","{""python"": 80}"
binary,4,astral-sh/ruff,80,"{""0"": 80}","{""python"": 80}"
binary,2,astral-sh/ty,40,"{""0"": 40}","{""python"": 40}"
binary,0,astral-sh/uv,80,"{""0"": 80}","{""python"": 80}"
binary,0,astrbotdevs/astrbot,80,"{""0"": 79, ""1"": 1}","{""python"": 80}"
binary,3,automattic/wp-calypso,80,"{""0"": 79, ""1"": 1}","{""typescript"": 80}"
binary,4,autonomous-ai/autonomous-os,80,"{""0"": 68, ""1"": 12}","{""python"": 80}"
binary,1,avibe-bot/avibe,80,"{""0"": 80}","{""python"": 80}"
binary,3,aws-samples/aws-cdk-examples,80,"{""0"": 76, ""1"": 4}","{""typescript"": 80}"
binary,0,aws/aws-cdk,80,"{""0"": 78, ""1"": 2}","{""typescript"": 80}"
binary,2,awsdocs/aws-doc-sdk-examples,80,"{""0"": 80}","{""python"": 80}"
binary,1,awslabs/agentcore-samples,79,"{""0"": 70, ""1"": 9}","{""python"": 79}"
binary,0,awslabs/aidlc-workflows,80,"{""0"": 80}","{""python"": 80}"
binary,3,awslabs/aws-crt-python,80,"{""0"": 80}","{""python"": 80}"
binary,0,awslabs/mcp,80,"{""0"": 80}","{""python"": 80}"
binary,4,azure/azure-sdk-for-js,79,"{""0"": 79}","{""typescript"": 79}"
binary,0,babel/babel,125,"{""0"": 103, ""1"": 22}","{""typescript"": 125}"
binary,2,babylonjs/babylon.js,80,"{""0"": 80}","{""typescript"": 80}"
binary,2,basefoundry/base,80,"{""0"": 80}","{""python"": 80}"
binary,1,bastani-inc/atomic,80,"{""0"": 80}","{""typescript"": 80}"
binary,3,bentoml/bentoml,80,"{""0"": 78, ""1"": 2}","{""python"": 80}"
binary,0,berriai/litellm,80,"{""0"": 80}","{""python"": 80}"
binary,0,better-auth/better-auth,80,"{""0"": 78, ""1"": 2}","{""typescript"": 80}"
binary,4,bitwarden/clients,80,"{""0"": 79, ""1"": 1}","{""typescript"": 80}"
binary,1,bitwire-it/ipblocklist,3,"{""0"": 3}","{""python"": 3}"
binary,3,blackboardsh/electrobun,41,"{""0"": 38, ""1"": 3}","{""typescript"": 41}"
binary,3,bluesky-social/social-app,80,"{""0"": 64, ""1"": 16}","{""typescript"": 80}"
binary,3,bluewave-labs/checkmate,40,"{""0"": 40}","{""typescript"": 40}"
binary,2,bojieli/ai-agent-book,79,"{""0"": 79}","{""python"": 79}"
binary,1,bonfy/github-trending,1,"{""0"": 1}","{""python"": 1}"
binary,3,boto/boto3,80,"{""0"": 80}","{""python"": 80}"
binary,2,browser-use/browser-harness,80,"{""0"": 75, ""1"": 5}","{""python"": 80}"
binary,4,browser-use/browser-use,80,"{""0"": 76, ""1"": 4}","{""python"": 80}"
binary,1,builderio/agent-native,80,"{""0"": 80}","{""typescript"": 80}"
binary,1,cabloy/cabloy,1,"{""0"": 1}","{""typescript"": 1}"
binary,2,callstack/agent-device,39,"{""0"": 36, ""1"": 3}","{""typescript"": 39}"
binary,1,camurban/pterasoftware,80,"{""0"": 80}","{""python"": 80}"
binary,4,canner/wrenai,80,"{""0"": 80}","{""python"": 80}"
binary,3,canyon-project/canyon,31,"{""0"": 30, ""1"": 1}","{""typescript"": 31}"
binary,1,ccch1mneyyy/dsh-tui,80,"{""0"": 76, ""1"": 4}","{""typescript"": 80}"
binary,1,celery/celery,78,"{""0"": 77, ""1"": 1}","{""python"": 78}"
binary,0,chakra-ui/chakra-ui,121,"{""0"": 90, ""1"": 31}","{""typescript"": 121}"
binary,2,chatbotxio/chatbotx,80,"{""0"": 80}","{""typescript"": 80}"
binary,3,chaterm/chaterm,80,"{""0"": 80}","{""typescript"": 80}"
binary,3,cheeriojs/cheerio,80,"{""0"": 80}","{""typescript"": 80}"
binary,3,cherryhq/cherry-studio,80,"{""0"": 80}","{""typescript"": 80}"
binary,0,chiimagnus/syncnos,80,"{""0"": 80}","{""typescript"": 80}"
binary,2,chrisbenincasa/tunarr,80,"{""0"": 80}","{""typescript"": 80}"
binary,0,clickhouse/clickhouse,110,"{""0"": 110}","{""python"": 28, ""rust"": 1, ""sql"": 52, ""unknown"": 29}"
binary,3,cline/cline,80,"{""0"": 79, ""1"": 1}","{""typescript"": 80}"
binary,0,cluntop/tvbox,13,"{""0"": 13}","{""python"": 13}"
binary,4,codebuffai/freebuff,80,"{""0"": 75, ""1"": 5}","{""typescript"": 80}"
binary,0,codewithcj/sparkyfitness,80,"{""0"": 79, ""1"": 1}","{""typescript"": 80}"
binary,1,colemurray/background-agents,40,"{""0"": 39, ""1"": 1}","{""typescript"": 40}"
binary,1,colorado-mesh/mesh-client,80,"{""0"": 80}","{""typescript"": 80}"
binary,2,comfy-org/comfyui_frontend,80,"{""0"": 80}","{""typescript"": 80}"
binary,1,commaai/openpilot,80,"{""0"": 79, ""1"": 1}","{""python"": 80}"
binary,4,companion-inc/feynman,37,"{""0"": 37}","{""typescript"": 37}"
binary,0,controlled-v2/jobfair-platform-copy,560,"{""1"": 560}","{""typescript"": 560}"
binary,3,controlled-v2/rbi-property-valuation-copy,490,"{""1"": 490}","{""csharp"": 490}"
binary,1,controlled-v2/rbi-related-parties-portal-copy,520,"{""1"": 520}","{""typescript"": 520}"
binary,4,controlled-v2/rbi-test-forge-copy,430,"{""1"": 430}","{""csharp"": 430}"
binary,2,controlled/jobfair-platform-copy,500,"{""1"": 500}","{""typescript"": 500}"
binary,4,controlled/rbi-property-valuation-copy,500,"{""1"": 500}","{""csharp"": 500}"
binary,3,controlled/rbi-related-parties-portal-copy,500,"{""1"": 500}","{""typescript"": 500}"
binary,2,controlled/rbi-test-forge-copy,500,"{""1"": 500}","{""csharp"": 500}"
binary,2,cookiecutter/cookiecutter,40,"{""0"": 40}","{""python"": 40}"
binary,4,copilotkit/copilotkit,80,"{""0"": 79, ""1"": 1}","{""typescript"": 80}"
binary,3,cpsoinos/nuxt-svgo,75,"{""0"": 75}","{""typescript"": 75}"
binary,4,crewaiinc/crewai,80,"{""0"": 80}","{""python"": 80}"
binary,2,cryptojones/omind,142,"{""0"": 142}","{""python"": 142}"
binary,0,ctrliq/ascender,80,"{""0"": 79, ""1"": 1}","{""python"": 80}"
binary,2,custom-components/places,80,"{""0"": 78, ""1"": 2}","{""python"": 80}"
binary,4,daangn/seed-design,80,"{""0"": 80}","{""typescript"": 80}"
binary,4,dagster-io/dagster,80,"{""0"": 79, ""1"": 1}","{""python"": 80}"
binary,4,daiki-beppu/youtube-automation,80,"{""0"": 80}","{""python"": 80}"
binary,4,danny-avila/librechat,80,"{""0"": 77, ""1"": 3}","{""typescript"": 80}"
binary,4,dapr/dapr,110,"{""0"": 110}","{""go"": 98, ""python"": 1, ""unknown"": 11}"
binary,2,dask/dask,80,"{""0"": 80}","{""python"": 80}"
binary,4,datadog/browser-sdk,80,"{""0"": 80}","{""typescript"": 80}"
binary,2,datadog/dd-trace-js,80,"{""0"": 80}","{""typescript"": 80}"
binary,1,datadog/dd-trace-py,80,"{""0"": 80}","{""python"": 80}"
binary,2,datalayer/jupyter-mcp-server,80,"{""0"": 78, ""1"": 2}","{""python"": 80}"
binary,1,davidmonterocrespo24/velxio,80,"{""0"": 77, ""1"": 3}","{""typescript"": 80}"
binary,2,dbt-labs/dbt-core,80,"{""0"": 80}","{""python"": 80}"
binary,3,deepspeedai/deepspeed,80,"{""0"": 78, ""1"": 2}","{""python"": 80}"
binary,0,definitelytyped/definitelytyped,80,"{""0"": 80}","{""typescript"": 80}"
binary,0,denoland/fresh,100,"{""0"": 99, ""1"": 1}","{""typescript"": 100}"
binary,4,devin-axis/ipollowork,80,"{""0"": 80}","{""typescript"": 80}"
binary,4,dfpc-coe/cloudtak,80,"{""0"": 80}","{""typescript"": 80}"
binary,0,django-cms/django-cms,80,"{""0"": 80}","{""python"": 80}"
binary,3,django/django,57,"{""0"": 57}","{""python"": 57}"
binary,1,docgeni/docgeni,80,"{""0"": 79, ""1"": 1}","{""typescript"": 80}"
binary,1,docmost/docmost,80,"{""0"": 80}","{""typescript"": 80}"
binary,0,documenso/documenso,80,"{""0"": 77, ""1"": 3}","{""typescript"": 80}"
binary,1,doolijb/serene-pub,20,"{""0"": 20}","{""typescript"": 20}"
binary,3,elastic/kibana,20,"{""0"": 20}","{""typescript"": 20}"
binary,1,encode/httpx,4,"{""1"": 4}","{""python"": 4}"
binary,0,encode/uvicorn,2,"{""1"": 2}","{""python"": 2}"
binary,3,ent/ent,11,"{""1"": 11}","{""go"": 11}"
binary,2,eslint/eslint,120,"{""0"": 59, ""1"": 61}","{""typescript"": 120}"
binary,2,ethereum/go-ethereum,110,"{""0"": 110}","{""go"": 109, ""unknown"": 1}"
binary,0,expo/expo,20,"{""0"": 20}","{""typescript"": 20}"
binary,4,facebook/docusaurus,20,"{""0"": 20}","{""typescript"": 20}"
binary,1,facebook/react,20,"{""0"": 20}","{""typescript"": 20}"
binary,0,facebook/react-native,2,"{""0"": 2}","{""typescript"": 2}"
binary,2,fastapi/fastapi,180,"{""0"": 180}","{""python"": 180}"
binary,0,go-chi/chi,3,"{""1"": 3}","{""go"": 3}"
binary,1,gofiber/fiber,2,"{""1"": 2}","{""go"": 2}"
binary,3,grafana/grafana,20,"{""0"": 20}","{""typescript"": 20}"
binary,4,grafana/k6,20,"{""0"": 20}","{""typescript"": 20}"
binary,2,grafana/loki,2,"{""1"": 2}","{""go"": 2}"
binary,3,graphql-python/graphene,9,"{""1"": 9}","{""python"": 9}"
binary,1,grpc/grpc-node,1,"{""1"": 1}","{""typescript"": 1}"
binary,1,hashicorp/terraform-provider-aws,110,"{""0"": 110}","{""go"": 99, ""kotlin"": 4, ""unknown"": 7}"
binary,4,hynek/structlog,40,"{""0"": 40}","{""python"": 40}"
binary,2,jestjs/jest,40,"{""0"": 40}","{""typescript"": 40}"
binary,3,juspay/xyne-spaces,40,"{""0"": 40}","{""typescript"": 40}"
binary,2,keygraphhq/shannon,40,"{""0"": 38, ""1"": 2}","{""typescript"": 40}"
binary,3,marshmallow-code/marshmallow,40,"{""0"": 40}","{""python"": 40}"
binary,0,mattermost/mattermost,110,"{""0"": 110}","{""go"": 60, ""javascript"": 3, ""sql"": 1, ""typescript"": 40, ""unknown"": 6}"
binary,3,melgarafael/deskcommcrm,40,"{""0"": 39, ""1"": 1}","{""typescript"": 40}"
binary,1,metabase/metabase,100,"{""0"": 88, ""1"": 12}","{""javascript"": 9, ""typescript"": 48, ""unknown"": 43}"
binary,2,microsoft/autogen,180,"{""0"": 174, ""1"": 6}","{""python"": 180}"
binary,1,microsoft/azure-pipelines-tasks,179,"{""0"": 173, ""1"": 6}","{""typescript"": 179}"
binary,0,microsoft/fluentui,180,"{""0"": 178, ""1"": 2}","{""typescript"": 180}"
binary,3,microsoft/graphrag,180,"{""0"": 166, ""1"": 14}","{""python"": 180}"
binary,4,microsoft/kiota,179,"{""0"": 179}","{""typescript"": 179}"
binary,3,microsoft/markitdown,142,"{""0"": 142}","{""python"": 142}"
binary,3,microsoft/onnxruntime,179,"{""0"": 179}","{""python"": 179}"
binary,1,microsoft/playwright,180,"{""0"": 180}","{""typescript"": 180}"
binary,4,microsoft/promptflow,178,"{""0"": 174, ""1"": 4}","{""python"": 178}"
binary,2,microsoft/rushstack,180,"{""0"": 180}","{""typescript"": 180}"
binary,4,microsoft/semantic-kernel,180,"{""0"": 173, ""1"": 7}","{""python"": 180}"
binary,2,microsoft/tsdoc,158,"{""0"": 151, ""1"": 7}","{""typescript"": 158}"
binary,4,microsoft/typescript,180,"{""0"": 180}","{""typescript"": 180}"
binary,1,microsoft/typescript-go,260,"{""0"": 260}","{""go"": 260}"
binary,1,microsoft/vscode,294,"{""0"": 196, ""1"": 98}","{""typescript"": 294}"
binary,3,mui/material-ui,81,"{""0"": 81}","{""typescript"": 81}"
binary,1,nestjs/docs.nestjs.com,17,"{""0"": 17}","{""typescript"": 17}"
binary,1,nodejs/node,120,"{""0"": 42, ""1"": 78}","{""typescript"": 120}"
binary,1,npm/cli,120,"{""0"": 26, ""1"": 94}","{""typescript"": 120}"
binary,4,nuxt/nuxt,120,"{""0"": 55, ""1"": 65}","{""typescript"": 120}"
binary,0,open-telemetry/opentelemetry-js,20,"{""0"": 20}","{""typescript"": 20}"
binary,2,open-telemetry/opentelemetry-js-contrib,88,"{""0"": 55, ""1"": 33}","{""typescript"": 88}"
binary,1,open-telemetry/opentelemetry-python,180,"{""0"": 180}","{""python"": 180}"
binary,0,open-telemetry/opentelemetry-python-contrib,180,"{""0"": 180}","{""python"": 180}"
binary,4,oven-sh/bun,20,"{""0"": 20}","{""typescript"": 20}"
binary,1,pallets/flask,1,"{""1"": 1}","{""python"": 1}"
binary,2,payloadcms/payload,5,"{""0"": 5}","{""typescript"": 5}"
binary,0,pdm-project/pdm,2,"{""1"": 2}","{""python"": 2}"
binary,3,pmndrs/zustand,119,"{""0"": 61, ""1"": 58}","{""typescript"": 119}"
binary,0,pnpm/pnpm,119,"{""0"": 25, ""1"": 94}","{""typescript"": 119}"
binary,4,posthog/posthog,110,"{""0"": 110}","{""javascript"": 2, ""python"": 49, ""rust"": 3, ""sql"": 1, ""typescript"": 48, ""unknown"": 7}"
binary,0,prettier/prettier,120,"{""0"": 32, ""1"": 88}","{""typescript"": 120}"
binary,1,pytest-dev/pytest,1,"{""1"": 1}","{""python"": 1}"
binary,1,pytest-dev/pytest-cov,40,"{""0"": 38, ""1"": 2}","{""python"": 40}"
binary,1,ragpark/controltower,3,"{""1"": 3}","{""typescript"": 3}"
binary,0,reduxjs/redux-toolkit,20,"{""0"": 20}","{""typescript"": 20}"
binary,0,remix-run/remix,180,"{""0"": 180}","{""typescript"": 180}"
binary,4,rollup/rollup,42,"{""0"": 38, ""1"": 4}","{""typescript"": 42}"
binary,1,rossoctl/rossoctl,40,"{""0"": 40}","{""python"": 40}"
binary,3,rust-lang/rust,109,"{""0"": 109}","{""rust"": 103, ""unknown"": 6}"
binary,4,sonarsource/sonarjs,40,"{""0"": 40}","{""typescript"": 40}"
binary,0,spf13/viper,2,"{""1"": 2}","{""go"": 2}"
binary,3,storybookjs/storybook,180,"{""0"": 180}","{""typescript"": 180}"
binary,0,strapi/strapi,120,"{""0"": 36, ""1"": 84}","{""typescript"": 120}"
binary,0,strawberry-graphql/strawberry,5,"{""1"": 5}","{""python"": 4, ""typescript"": 1}"
binary,4,supabase/supabase,20,"{""0"": 20}","{""typescript"": 20}"
binary,4,tanstack/query,19,"{""0"": 15, ""1"": 4}","{""typescript"": 19}"
binary,0,tanstack/router,120,"{""0"": 16, ""1"": 104}","{""typescript"": 120}"
binary,0,tauri-apps/tauri,20,"{""0"": 20}","{""typescript"": 20}"
binary,1,temporalio/sdk-python,3,"{""1"": 3}","{""python"": 3}"
binary,0,tiangolo/sqlmodel,3,"{""1"": 3}","{""python"": 3}"
binary,2,torbido-hq/cicerone,50,"{""0"": 46, ""1"": 4}","{""python"": 50}"
binary,0,tox-dev/tox,1,"{""1"": 1}","{""python"": 1}"
binary,1,trinodb/trino,110,"{""0"": 110}","{""java"": 87, ""python"": 2, ""unknown"": 21}"
binary,1,urfave/cli,2,"{""1"": 2}","{""go"": 2}"
binary,3,vercel/next.js,180,"{""0"": 174, ""1"": 6}","{""typescript"": 180}"
binary,1,vercel/swr,180,"{""0"": 179, ""1"": 1}","{""typescript"": 180}"
binary,2,vitejs/vite,20,"{""0"": 19, ""1"": 1}","{""typescript"": 20}"
binary,3,vitest-dev/vitest,20,"{""0"": 20}","{""typescript"": 20}"
binary,1,vuejs/router,120,"{""0"": 23, ""1"": 97}","{""typescript"": 120}"
binary,1,webpack/webpack,120,"{""0"": 31, ""1"": 89}","{""typescript"": 120}"
