run_key,sample_name,case_id,predicted_category,retrieval_context_available,final_status,llm_call_count,latency_seconds,selected_target_document,execution_error_code,execution_error_type,execution_error_message,repair_attempted_recorded,first_pass_safety_status,repair_safety_status
primary_natural_distribution::GH-CAND-5658,primary_natural_distribution,GH-CAND-5658,model_contract,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6208,primary_natural_distribution,GH-CAND-6208,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::DGPR-74ca82eecd978469,primary_natural_distribution,DGPR-74ca82eecd978469,configuration,True,human_review_required,2,69.52030512300007,,input_token_budget_exceeded,InputTokenBudgetExceeded,repair prompt has 4136 tokens; maximum allowed input is 4096,,,
primary_natural_distribution::GH-CAND-6187,primary_natural_distribution,GH-CAND-6187,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4874,primary_natural_distribution,GH-CAND-4874,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6234,primary_natural_distribution,GH-CAND-6234,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6269,primary_natural_distribution,GH-CAND-6269,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-5611,primary_natural_distribution,GH-CAND-5611,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4886,primary_natural_distribution,GH-CAND-4886,model_contract,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-5627,primary_natural_distribution,GH-CAND-5627,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6201,primary_natural_distribution,GH-CAND-6201,api_reference,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4916,primary_natural_distribution,GH-CAND-4916,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::DGPR-10c5b70916615c16,primary_natural_distribution,DGPR-10c5b70916615c16,configuration,True,accepted_after_repair,3,41.72862100399993,README.md,,,,True,fail,pass
primary_natural_distribution::GH-CAND-4593,primary_natural_distribution,GH-CAND-4593,model_contract,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6266,primary_natural_distribution,GH-CAND-6266,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4950,primary_natural_distribution,GH-CAND-4950,api_reference,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6248,primary_natural_distribution,GH-CAND-6248,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4591,primary_natural_distribution,GH-CAND-4591,api_reference,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4884,primary_natural_distribution,GH-CAND-4884,model_contract,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4946,primary_natural_distribution,GH-CAND-4946,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6271,primary_natural_distribution,GH-CAND-6271,api_reference,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6263,primary_natural_distribution,GH-CAND-6263,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-5591,primary_natural_distribution,GH-CAND-5591,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4561,primary_natural_distribution,GH-CAND-4561,api_reference,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-5579,primary_natural_distribution,GH-CAND-5579,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4952,primary_natural_distribution,GH-CAND-4952,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6209,primary_natural_distribution,GH-CAND-6209,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4909,primary_natural_distribution,GH-CAND-4909,api_reference,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::DGPR-a3a892ce440f7ce8,primary_natural_distribution,DGPR-a3a892ce440f7ce8,configuration,True,accepted_first_pass,2,45.032326037000075,README.md,,,,False,pass,
primary_natural_distribution::GH-CAND-5633,primary_natural_distribution,GH-CAND-5633,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-5674,primary_natural_distribution,GH-CAND-5674,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4575,primary_natural_distribution,GH-CAND-4575,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-5590,primary_natural_distribution,GH-CAND-5590,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4552,primary_natural_distribution,GH-CAND-4552,api_reference,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6182,primary_natural_distribution,GH-CAND-6182,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4924,primary_natural_distribution,GH-CAND-4924,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6218,primary_natural_distribution,GH-CAND-6218,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-5581,primary_natural_distribution,GH-CAND-5581,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6195,primary_natural_distribution,GH-CAND-6195,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4870,primary_natural_distribution,GH-CAND-4870,api_reference,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4547,primary_natural_distribution,GH-CAND-4547,model_contract,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::DGPR-a562d85717b1c33c,primary_natural_distribution,DGPR-a562d85717b1c33c,configuration,True,human_review_required,3,56.45182992600007,docs/configuration.md,,,,True,fail,fail
primary_natural_distribution::GH-CAND-4890,primary_natural_distribution,GH-CAND-4890,api_reference,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4922,primary_natural_distribution,GH-CAND-4922,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6225,primary_natural_distribution,GH-CAND-6225,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6261,primary_natural_distribution,GH-CAND-6261,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4563,primary_natural_distribution,GH-CAND-4563,model_contract,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6236,primary_natural_distribution,GH-CAND-6236,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6242,primary_natural_distribution,GH-CAND-6242,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-5630,primary_natural_distribution,GH-CAND-5630,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-5582,primary_natural_distribution,GH-CAND-5582,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4595,primary_natural_distribution,GH-CAND-4595,api_reference,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-5585,primary_natural_distribution,GH-CAND-5585,model_contract,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4957,primary_natural_distribution,GH-CAND-4957,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4881,primary_natural_distribution,GH-CAND-4881,api_reference,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4910,primary_natural_distribution,GH-CAND-4910,api_reference,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4548,primary_natural_distribution,GH-CAND-4548,api_reference,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4859,primary_natural_distribution,GH-CAND-4859,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-5673,primary_natural_distribution,GH-CAND-5673,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6274,primary_natural_distribution,GH-CAND-6274,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6205,primary_natural_distribution,GH-CAND-6205,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-5634,primary_natural_distribution,GH-CAND-5634,model_contract,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6232,primary_natural_distribution,GH-CAND-6232,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4912,primary_natural_distribution,GH-CAND-4912,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6185,primary_natural_distribution,GH-CAND-6185,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6252,primary_natural_distribution,GH-CAND-6252,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4940,primary_natural_distribution,GH-CAND-4940,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::DGPR-c2c9148d22965087,primary_natural_distribution,DGPR-c2c9148d22965087,model_contract,True,human_review_required,0,0.012700864999942496,,input_token_budget_exceeded,InputTokenBudgetExceeded,analysis prompt has 4175 tokens; maximum allowed input is 4096,,,
primary_natural_distribution::GH-CAND-4891,primary_natural_distribution,GH-CAND-4891,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6265,primary_natural_distribution,GH-CAND-6265,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4935,primary_natural_distribution,GH-CAND-4935,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-5602,primary_natural_distribution,GH-CAND-5602,model_contract,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4911,primary_natural_distribution,GH-CAND-4911,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4545,primary_natural_distribution,GH-CAND-4545,model_contract,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4882,primary_natural_distribution,GH-CAND-4882,api_reference,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6186,primary_natural_distribution,GH-CAND-6186,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6224,primary_natural_distribution,GH-CAND-6224,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-5655,primary_natural_distribution,GH-CAND-5655,model_contract,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-5599,primary_natural_distribution,GH-CAND-5599,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-5632,primary_natural_distribution,GH-CAND-5632,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4585,primary_natural_distribution,GH-CAND-4585,developer_setup,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6231,primary_natural_distribution,GH-CAND-6231,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
secondary_category_stress::CRPP2-VAL-API_REFERENCE-114,secondary_category_stress,CRPP2-VAL-API_REFERENCE-114,api_reference,True,human_review_required,3,33.80967359700003,docs/docguard-contract-lab-v2/API_REFERENCE.md,,,,True,fail,fail
secondary_category_stress::CRPP1-RPP-API_REFERENCE-029,secondary_category_stress,CRPP1-RPP-API_REFERENCE-029,api_reference,True,human_review_required,3,47.14345260099981,docs/docguard-contract-lab/API_REFERENCE.md,,,,True,fail,fail
secondary_category_stress::CRPP1-JOB-API_REFERENCE-052,secondary_category_stress,CRPP1-JOB-API_REFERENCE-052,api_reference,True,human_review_required,1,23.97730668300005,,invalid_structured_llm_output,JSONDecodeError,"Expecting ',' delimiter: line 11 column 50 (char 1186)",,,
secondary_category_stress::DGPR-c069887d422c5ad1,secondary_category_stress,DGPR-c069887d422c5ad1,api_reference,True,human_review_required,0,0.055905340000208525,,input_token_budget_exceeded,InputTokenBudgetExceeded,analysis prompt has 20265 tokens; maximum allowed input is 4096,,,
secondary_category_stress::CRPP1-TFG-OTHER_DOCUMENTATION-083,secondary_category_stress,CRPP1-TFG-OTHER_DOCUMENTATION-083,api_reference,True,human_review_required,3,29.59016088599992,docs/docguard-contract-lab/WORKFLOWS_AND_OPERATIONS.md,,,,True,fail,fail
secondary_category_stress::CRPP1-TFG-OTHER_DOCUMENTATION-003,secondary_category_stress,CRPP1-TFG-OTHER_DOCUMENTATION-003,api_reference,True,human_review_required,3,31.33831761700003,docs/docguard-contract-lab/WORKFLOWS_AND_OPERATIONS.md,,,,True,fail,fail
secondary_category_stress::CRPP1-TFG-API_REFERENCE-058,secondary_category_stress,CRPP1-TFG-API_REFERENCE-058,api_reference,True,human_review_required,3,42.82270162600025,docs/docguard-contract-lab/API_REFERENCE.md,,,,True,fail,fail
secondary_category_stress::CRPP1-RPP-API_REFERENCE-086,secondary_category_stress,CRPP1-RPP-API_REFERENCE-086,api_reference,True,human_review_required,3,44.68308811499992,docs/docguard-contract-lab/API_REFERENCE.md,,,,True,fail,fail
secondary_category_stress::DGPR-6ee60d775ca4a3c1,secondary_category_stress,DGPR-6ee60d775ca4a3c1,api_reference,True,human_review_required,0,0.014252958999804832,,input_token_budget_exceeded,InputTokenBudgetExceeded,analysis prompt has 4488 tokens; maximum allowed input is 4096,,,
secondary_category_stress::CRPP1-RPP-API_REFERENCE-010,secondary_category_stress,CRPP1-RPP-API_REFERENCE-010,api_reference,True,human_review_required,3,46.68758801600006,docs/docguard-contract-lab/API_REFERENCE.md,,,,True,fail,fail
secondary_category_stress::CRPP2-VAL-API_REFERENCE-190,secondary_category_stress,CRPP2-VAL-API_REFERENCE-190,api_reference,True,human_review_required,3,37.58884938400024,docs/docguard-contract-lab-v2/API_REFERENCE.md,,,,True,fail,fail
secondary_category_stress::DGPR-b59dbfcf058b1dcb,secondary_category_stress,DGPR-b59dbfcf058b1dcb,api_reference,True,human_review_required,0,0.018001446000198484,,input_token_budget_exceeded,InputTokenBudgetExceeded,analysis prompt has 6895 tokens; maximum allowed input is 4096,,,
secondary_category_stress::GH-CAND-7975,secondary_category_stress,GH-CAND-7975,api_reference,False,retrieval_context_unavailable,0,0.0,,,,,,,
secondary_category_stress::CRPP2-RPP-API_REFERENCE-220,secondary_category_stress,CRPP2-RPP-API_REFERENCE-220,api_reference,True,human_review_required,1,20.868189446000088,,invalid_structured_llm_output,JSONDecodeError,"Expecting ',' delimiter: line 11 column 50 (char 1040)",,,
secondary_category_stress::CRPP1-JOB-OTHER_DOCUMENTATION-079,secondary_category_stress,CRPP1-JOB-OTHER_DOCUMENTATION-079,api_reference,True,human_review_required,1,18.33048358899987,,invalid_structured_llm_output,JSONDecodeError,"Expecting ',' delimiter: line 11 column 48 (char 838)",,,
secondary_category_stress::CRPP2-TFG-API_REFERENCE-133,secondary_category_stress,CRPP2-TFG-API_REFERENCE-133,api_reference,True,human_review_required,3,40.37347934100035,docs/docguard-contract-lab-v2/API_REFERENCE.md,,,,True,fail,fail
secondary_category_stress::CRPP2-JOB-API_REFERENCE-188,secondary_category_stress,CRPP2-JOB-API_REFERENCE-188,api_reference,True,human_review_required,1,22.029114005000338,,invalid_structured_llm_output,JSONDecodeError,"Expecting ',' delimiter: line 11 column 50 (char 1111)",,,
secondary_category_stress::CRPP1-JOB-API_REFERENCE-066,secondary_category_stress,CRPP1-JOB-API_REFERENCE-066,api_reference,True,human_review_required,3,43.61378884399983,docs/docguard-contract-lab/API_REFERENCE.md,,,,True,fail,fail
secondary_category_stress::CRPP1-JOB-API_REFERENCE-062,secondary_category_stress,CRPP1-JOB-API_REFERENCE-062,api_reference,True,human_review_required,3,40.34456209000018,docs/docguard-contract-lab/API_REFERENCE.md,,,,True,fail,fail
secondary_category_stress::CRPP1-JOB-OTHER_DOCUMENTATION-092,secondary_category_stress,CRPP1-JOB-OTHER_DOCUMENTATION-092,api_reference,True,human_review_required,3,42.858628562000376,docs/docguard-contract-lab/WORKFLOWS_AND_OPERATIONS.md,,,,True,fail,fail
secondary_category_stress::CRPP1-TFG-API_REFERENCE-048,secondary_category_stress,CRPP1-TFG-API_REFERENCE-048,api_reference,True,human_review_required,1,22.53560394499982,,invalid_structured_llm_output,JSONDecodeError,"Expecting ',' delimiter: line 11 column 50 (char 1164)",,,
secondary_category_stress::CRPP1-TFG-API_REFERENCE-077,secondary_category_stress,CRPP1-TFG-API_REFERENCE-077,api_reference,True,human_review_required,3,42.009081294000225,docs/docguard-contract-lab/API_REFERENCE.md,,,,True,fail,fail
secondary_category_stress::CRPP2-RPP-API_REFERENCE-138,secondary_category_stress,CRPP2-RPP-API_REFERENCE-138,api_reference,True,human_review_required,3,48.54265795099991,docs/docguard-contract-lab-v2/API_REFERENCE.md,,,,True,fail,fail
secondary_category_stress::CRPP2-TFG-API_REFERENCE-156,secondary_category_stress,CRPP2-TFG-API_REFERENCE-156,api_reference,True,human_review_required,1,18.407127477999893,,invalid_structured_llm_output,JSONDecodeError,"Expecting ',' delimiter: line 11 column 50 (char 888)",,,
secondary_category_stress::CRPP1-JOB-API_REFERENCE-055,secondary_category_stress,CRPP1-JOB-API_REFERENCE-055,api_reference,True,accepted_first_pass,2,24.731733085999622,docs/docguard-contract-lab/API_REFERENCE.md,,,,False,pass,
secondary_category_stress::GH-CAND-5629,secondary_category_stress,GH-CAND-5629,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
secondary_category_stress::CRPP1-VAL-CONFIGURATION-085,secondary_category_stress,CRPP1-VAL-CONFIGURATION-085,configuration,True,human_review_required,1,23.570877848000237,,invalid_structured_llm_output,JSONDecodeError,"Expecting ',' delimiter: line 11 column 44 (char 905)",,,
secondary_category_stress::GH-CAND-6540,secondary_category_stress,GH-CAND-6540,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
secondary_category_stress::GH-CAND-5545,secondary_category_stress,GH-CAND-5545,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
secondary_category_stress::CRPP2-VAL-CONFIGURATION-141,secondary_category_stress,CRPP2-VAL-CONFIGURATION-141,configuration,True,human_review_required,1,18.922370879000027,,invalid_structured_llm_output,JSONDecodeError,"Expecting ',' delimiter: line 11 column 44 (char 808)",,,
secondary_category_stress::CRPP2-JOB-CONFIGURATION-129,secondary_category_stress,CRPP2-JOB-CONFIGURATION-129,configuration,True,human_review_required,1,21.639682921999793,,invalid_structured_llm_output,JSONDecodeError,"Expecting ',' delimiter: line 11 column 44 (char 721)",,,
secondary_category_stress::CRPP2-VAL-CONFIGURATION-201,secondary_category_stress,CRPP2-VAL-CONFIGURATION-201,configuration,True,human_review_required,1,19.13544355699969,,invalid_structured_llm_output,JSONDecodeError,"Expecting ',' delimiter: line 11 column 44 (char 855)",,,
secondary_category_stress::GH-CAND-6189,secondary_category_stress,GH-CAND-6189,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
secondary_category_stress::CRPP2-RPP-CONFIGURATION-107,secondary_category_stress,CRPP2-RPP-CONFIGURATION-107,configuration,True,accepted_first_pass,2,24.276238770999953,docs/docguard-contract-lab-v2/CONFIGURATION.md,,,,False,pass,
secondary_category_stress::CRPP1-JOB-CONFIGURATION-014,secondary_category_stress,CRPP1-JOB-CONFIGURATION-014,configuration,True,accepted_first_pass,2,25.986445178000395,docs/docguard-contract-lab/CONFIGURATION.md,,,,False,pass,
secondary_category_stress::CRPP1-VAL-CONFIGURATION-004,secondary_category_stress,CRPP1-VAL-CONFIGURATION-004,configuration,True,accepted_first_pass,2,23.620315751999897,docs/docguard-contract-lab/CONFIGURATION.md,,,,False,pass,
secondary_category_stress::CRPP2-VAL-CONFIGURATION-147,secondary_category_stress,CRPP2-VAL-CONFIGURATION-147,configuration,True,accepted_first_pass,2,24.64338335599996,docs/docguard-contract-lab-v2/CONFIGURATION.md,,,,False,pass,
secondary_category_stress::CRPP2-RPP-CONFIGURATION-234,secondary_category_stress,CRPP2-RPP-CONFIGURATION-234,configuration,True,accepted_first_pass,2,37.20936496500008,docs/docguard-contract-lab-v2/CONFIGURATION.md,,,,False,pass,
secondary_category_stress::CRPP1-TFG-OTHER_DOCUMENTATION-081,secondary_category_stress,CRPP1-TFG-OTHER_DOCUMENTATION-081,configuration,True,human_review_required,3,40.67118959399977,docs/docguard-contract-lab/WORKFLOWS_AND_OPERATIONS.md,,,,True,fail,fail
secondary_category_stress::CRPP2-JOB-CONFIGURATION-118,secondary_category_stress,CRPP2-JOB-CONFIGURATION-118,configuration,True,accepted_first_pass,2,29.103825894999773,docs/docguard-contract-lab-v2/CONFIGURATION.md,,,,False,pass,
secondary_category_stress::CRPP2-RPP-CONFIGURATION-227,secondary_category_stress,CRPP2-RPP-CONFIGURATION-227,configuration,True,accepted_first_pass,2,23.638953425999716,docs/docguard-contract-lab-v2/CONFIGURATION.md,,,,False,pass,
secondary_category_stress::CRPP1-TFG-CONFIGURATION-010,secondary_category_stress,CRPP1-TFG-CONFIGURATION-010,configuration,True,accepted_first_pass,2,31.845990247999907,docs/docguard-contract-lab/CONFIGURATION.md,,,,False,pass,
secondary_category_stress::CRPP1-RPP-CONFIGURATION-090,secondary_category_stress,CRPP1-RPP-CONFIGURATION-090,configuration,True,accepted_first_pass,2,27.87779379199992,docs/docguard-contract-lab/CONFIGURATION.md,,,,False,pass,
secondary_category_stress::CRPP2-TFG-CONFIGURATION-171,secondary_category_stress,CRPP2-TFG-CONFIGURATION-171,configuration,True,accepted_first_pass,2,28.79123562099994,docs/docguard-contract-lab-v2/CONFIGURATION.md,,,,False,pass,
secondary_category_stress::CRPP1-RPP-CONFIGURATION-099,secondary_category_stress,CRPP1-RPP-CONFIGURATION-099,configuration,True,accepted_first_pass,2,24.82586478500025,docs/docguard-contract-lab/CONFIGURATION.md,,,,False,pass,
secondary_category_stress::CRPP2-TFG-CONFIGURATION-128,secondary_category_stress,CRPP2-TFG-CONFIGURATION-128,configuration,True,accepted_first_pass,2,25.63848801899985,docs/docguard-contract-lab-v2/CONFIGURATION.md,,,,False,pass,
secondary_category_stress::CRPP2-RPP-CONFIGURATION-242,secondary_category_stress,CRPP2-RPP-CONFIGURATION-242,configuration,True,accepted_first_pass,2,34.02935626999988,docs/docguard-contract-lab-v2/CONFIGURATION.md,,,,False,pass,
secondary_category_stress::GH-CAND-6230,secondary_category_stress,GH-CAND-6230,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
secondary_category_stress::CRPP2-JOB-CONFIGURATION-219,secondary_category_stress,CRPP2-JOB-CONFIGURATION-219,configuration,True,accepted_first_pass,2,24.154542375000347,docs/docguard-contract-lab-v2/CONFIGURATION.md,,,,False,pass,
secondary_category_stress::CRPP1-JOB-CONFIGURATION-089,secondary_category_stress,CRPP1-JOB-CONFIGURATION-089,configuration,True,human_review_required,1,18.880321270999957,,invalid_structured_llm_output,JSONDecodeError,"Expecting ',' delimiter: line 11 column 44 (char 816)",,,
secondary_category_stress::CRPP2-TFG-DEVELOPER_SETUP-218,secondary_category_stress,CRPP2-TFG-DEVELOPER_SETUP-218,developer_setup,True,accepted_first_pass,2,24.623080571000173,docs/docguard-contract-lab-v2/DEVELOPER_SETUP.md,,,,False,pass,
secondary_category_stress::CRPP2-JOB-DEVELOPER_SETUP-171,secondary_category_stress,CRPP2-JOB-DEVELOPER_SETUP-171,developer_setup,True,accepted_first_pass,2,27.522563458999684,docs/docguard-contract-lab-v2/DEVELOPER_SETUP.md,,,,False,pass,
